τ,Mr,Mr_τ,Mr_ττ
0.0,0.01896557579628621,60.637698286847886,-518.621638898118
0.0002,0.031063754457870626,60.428456390143126,-1229.2965902220517
0.0004,0.04310321112788472,60.00817935558809,-5117.086603730147
0.0006,0.05492524929305696,58.582690443715705,-7624.728215776474
0.0008,0.06646843732067816,57.01651911416751,-8399.89592425334
0.001,0.07765437905636226,55.03367865545976,-10919.603671070483
0.0012,0.08840702349452809,52.67645932709182,-12725.031028816242
0.0014,0.0986531381854461,49.96013876848721,-14482.275844322176
0.0016,0.10832277160158046,46.902279574899595,-16145.982216765453
0.0018,0.11734970246831851,43.52265887329506,-17705.252467793758
0.002,0.12567187390645362,39.843186878980646,-19149.623835299964
0.0022,0.13323181006195434,35.88781345231018,-20469.130939324434
0.0024,0.13997701273299507,31.6824217503599,-21654.37226851204
0.0026,0.14586033535289242,27.254708118011436,-22696.57458998269
0.0028,0.15084033160715493,22.63404713563649,-23468.347733889146
0.003,0.15488157610662173,17.851335922765717,-23834.479450625113
0.0032,0.15795495575406707,13.303944410468276,-24423.69158823194
0.0034,0.1600379394044534,6.507421748990545,-31372.45342337106
0.0036,0.16076549432970347,1.044483731617623,-20980.683005141247
0.0038,0.1607657070753266,-0.9219474349601099,-15922.95097772175
0.004,0.16022055815402092,-5.235629630700932,-28666.727884489996
0.0042,0.15825399872452445,-12.790167757390293,-24002.649919261876
0.0044,0.15528854137103654,-17.33357229879446,-24157.20832494411
0.0046,0.15134397698320595,-22.179556379523305,-23759.634831160736
0.0048,0.14644716015813566,-26.873514374513533,-23088.594288822413
0.005,0.14063189676037102,-31.380987543689585,-22069.67590614614
0.0052,0.1339387570743281,-35.668623223676434,-20886.748361598522
0.0054,0.12641482811788612,-39.70445810051799,-19547.480197287307
0.0056,0.1181134075424658,-43.45820590231614,-18060.982132375244
0.0058,0.10909364066448932,-46.901538220300274,-16437.751212996314
0.006,0.0994201026209436,-50.0083539743494,-14689.603329295323
0.0062,0.08916232836035179,-52.75503340612546,-12829.585592964895
0.0064,0.07839429396688484,-55.1206724911042,-10871.868372031466
0.0066,0.06719385360234381,-57.08729369902769,-8831.618712391768
0.0068,0.0556421371035675,-58.640028927046686,-6724.870723583636
0.007,0.04382291396360812,-59.76726882783551,-4783.365067430961
0.0072,0.03182193003549494,-60.46075496938081,-442.89333895579705
0.0074,0.019726223803287365,-60.49769642062823,-87.0224252670544
0.0076,0.007623429453065094,-60.49761099129553,216.89251666003995
0.0078,-0.004398925767387693,-59.90977256541595,4294.00481161097
0.008,-0.01625412229481951,-58.85627876627381,6390.6611363073225
0.0082,-0.027856939526912556,-57.3804708725359,8438.962570141302
0.0084,-0.039124330223715115,-55.49489899928372,10456.215381690912
0.0086,-0.04997607093825509,-53.215312640895846,12386.687909013714
0.0088,-0.06033538182028353,-50.560485161682735,14215.69918574448
0.009,-0.07012950968655736,-47.55201339477688,15929.636307243629
0.0092,-0.07929026889899886,-44.21409251836879,17516.074652564595
0.0094,-0.08775453531603214,-40.57326936308439,18963.877160243967
0.0096,-0.09546468935013011,-36.658177981053136,20263.273046922684
0.0098,-0.10236900495602622,-32.49926149299821,21405.91681520089
0.01,-0.10842198212258365,-28.128484193050014,22384.937669182244
0.0102,-0.1135846210371634,-23.579038294854723,23382.938744468447
0.0104,-0.11782463612709594,-18.88505747436875,23432.04279624651
0.0106,-0.12111660579964956,-14.215518611456417,23358.621656429284
0.0108,-0.12344203623579404,-9.223980787742658,25683.414259609428
0.011,-0.1246740939482018,-0.6556957971202501,7465.9632128375815
0.0112,-0.12467395542480435,0.2997047827389917,5436.627324408793
0.0114,-0.1245434390117407,1.5269811406164018,8199.726228664229
0.0116,-0.12295875414301523,10.830292367708118,22310.04085841527
0.0118,-0.12042032310765075,15.084801395905325,22950.101599792848
0.012,-0.11695049025309287,19.68545077081182,22486.0297738256
0.0122,-0.11257804697644948,24.12615323093201,21802.018415406077
0.0124,-0.10733779769524812,28.37778480379846,20783.563185913805
0.0126,-0.10127022819594457,32.412753507251615,19631.08565780125
0.0128,-0.09442116355932674,36.20521808439729,18353.804482544158
0.013,-0.0868414046473741,39.7312109984081,16961.389615497937
0.0132,-0.07858634331013059,42.96874235620904,15463.987526796504
0.0134,-0.06971555846383252,45.897889632774806,13872.158139802099
0.0136,-0.06029239557541449,48.500874101707616,12196.810408706408
0.0138,-0.05038353207690984,50.76212471828803,10449.14161717804
0.014,-0.04005853111221035,52.668330181539396,8640.581037414131
0.0142,-0.02938938586534135,54.20847971216053,6782.741597418716
0.0144,-0.01845005656241361,55.37389210707343,5031.778097785656
0.0146,-0.007316002093910919,56.15822619267408,2370.252061715185
0.0148,0.003936291924677255,56.419478419521454,388.2768369749633
0.015,0.015229786941202722,56.419380212096776,-364.4389954569563
0.0152,0.026487365471717123,56.19775596897249,-2096.2370494412503
0.0154,0.03763230374332289,55.442094738553834,-4892.968698623456
0.0156,0.0485887414200225,54.30932984545747,-6609.525874584269
0.0158,0.0592821468537074,52.807246459824476,-8436.603503051914
0.016,0.06963977627207554,50.94592778839313,-10207.522759915486
0.0162,0.07959112525647224,48.73769916366285,-11911.200961021095
0.0164,0.08906837078262375,46.19707396191212,-13536.830640566892
0.0166,0.09800680199508448,43.34069195696354,-15073.932747083147
0.0168,0.10634523776602026,40.18724810605888,-16512.408491659353
0.017,0.11402642895879281,36.75741075643894,-17842.59465962338
0.0172,0.12099744317742739,33.07372845724647,-19055.32261634424
0.0174,0.127210029647841,29.160524649328877,-20141.980535134902
0.0176,0.1326209617566609,25.043779556518093,-21094.574345255503
0.0178,0.1371923547019834,20.75099845550018,-21773.13419389283
0.018,0.14089195580222982,16.31106201835456,-22128.587685710892
0.0182,0.14369340585127624,12.113948477370691,-22299.53274016154
0.0184,0.145576476284149,5.55094883502801,-28347.73820378753
0.0186,0.14617937724988514,0.9312244791702883,-17133.132808667237
0.0188,0.14617948956379714,-0.9085382064237844,-16294.107066109535
0.019,0.14560771233756178,-5.332928379139088,-27931.682302856192
0.0192,0.1437427353688915,-12.04068879747135,-22333.224271689636
0.0194,0.14095499398563327,-16.253959396232098,-22286.76054498753
0.0196,0.1372634625704507,-20.725381446656083,-21929.040172685665
0.0198,0.13269362789593137,-25.053010033919673,-21277.559043467325
0.02,0.12727736673444123,-29.205210467100436,-20321.011480493977
0.0202,0.12105276127953986,-33.15141860884233,-19214.31425953523
0.0204,0.1140638602449984,-36.86240021763966,-17964.774673690183
0.0206,0.1063603873884633,-40.31051044149628,-16580.993714972145
0.0208,0.09799739892250424,-43.469945927819474,-15072.81410187917
0.021,0.08903489176689473,-46.31698575214561,-13451.25515878048
0.0212,0.079537365252816,-48.830217562384135,-11728.429903151995
0.0214,0.06957333958050503,-50.99074535605529,-9917.444562345445
0.0216,0.05921483501570358,-52.782375357251006,-8032.282408161547
0.0218,0.04853681645473944,-54.191776278817976,-6087.690682542539
0.022,0.03761660858010176,-55.20860832080367,-4297.959501418215
0.0222,0.02653328734338794,-55.825593640237386,-139.8279858105884
0.0224,0.015367053937073936,-55.8368825224104,-27.596703950675863
0.0226,0.004198597737410993,-55.836850680371306,78.88963512318423
0.0228,-0.0068915450920940735,-55.25404605985372,4137.6521738803085
0.023,-0.017823630561811608,-54.263574846412986,5961.201570405116
0.0232,-0.028519336645230944,-52.885087964917034,7866.241203198544
0.0234,-0.03890237731988173,-51.130297163045036,9718.306296081102
0.0236,-0.048899094562975705,-49.013826002776085,11489.943844440711
0.0238,-0.05843902239288897,-46.553049840230244,13167.794278987149
0.024,-0.06745541753070662,-43.76791394570858,14739.465631770077
0.0242,-0.07588575182461584,-40.680729670756406,16193.640795873034
0.0244,-0.08367216220940367,-37.31595134288702,17520.16651361054
0.0246,-0.09076185464323848,-33.699937212909305,18710.124463926186
0.0248,-0.097107459151434,-29.860697939845867,19755.88534425226
0.025,-0.10266733375353962,-25.827636073683866,20651.155875587556
0.0252,-0.10740581555131155,-21.631280429331152,21505.793924987254
0.0254,-0.11129341722126834,-17.30302700539975,21590.013657805008
0.0256,-0.11430696477375775,-13.016989739619898,21459.172551087886
0.0258,-0.11642965526946282,-8.319646212040478,24345.63832795889
0.026,-0.11752792852025935,-0.6693423612236328,8319.58798013132
0.0262,-0.11752776848311375,0.3219346819549768,5759.236821562285
0.0264,-0.11738523968195702,1.6450113751762163,9050.360188853045
0.0266,-0.1159062984671695,10.069155584523346,20547.37446960407
0.0268,-0.11354940189425175,13.987000387832833,21115.84114407804
0.027,-0.1103353626976108,18.220229317264604,20688.99546014308
0.0272,-0.10629093159003687,22.304971345843953,20050.989082601503
0.0274,-0.10144840295250979,26.214366165983087,19106.83513377223
0.0276,-0.09584531005381619,29.922968407921413,18039.08651108724
0.0278,-0.08952410973370767,33.406948522374705,16856.253000374218
0.028,-0.08253184662470203,36.64420935240769,15567.28271061228
0.0282,-0.07491979706833447,39.61448537926836,14181.580704327978
0.0284,-0.0667430947136311,42.29942884726115,12708.950138609242
0.0286,-0.058060340155712584,44.68268347032537,11159.53175933571
0.0288,-0.04893319698421384,46.749946297478076,9543.746325757262
0.029,-0.03942597651761029,48.48901829428185,7871.364558070938
0.0292,-0.029605213377827053,49.88984399800107,6111.788828028147
0.0294,-0.019539233929272183,50.94525647861121,4711.146427635331
0.0296,-0.009297719489332655,51.68426129297873,1120.420534005981
0.0298,0.0010483259125414644,51.803064322564225,301.10383323940033
0.03,0.01141129763336141,51.857174401464604,108.8180177891125
